Index,Country,Month,HarvestYear
1,India,January,2018
2,Thailand,May,2018
3,Vietnam,December,2018
4,India,July,2018
5,Thailand,June,2018
6,Vietnam,January,2018
7,India,January,2018
8,Thailand,May,2018
9,Vietnam,December,2018
10,India,July,2018
11,Thailand,June,2018
12,Vietnam,January,2018
13,India,January,2018
14,Thailand,May,2018
15,Vietnam,December,2018
16,India,July,2018
17,Thailand,June,2018
18,Vietnam,January,2018
19,India,January,2018
20,Thailand,May,2018
21,Vietnam,December,2018
22,India,July,2018
23,Thailand,June,2018
24,Vietnam,January,2018
25,India,January,2018
26,Thailand,May,2018
27,Vietnam,December,2018
28,India,July,2018
29,Thailand,June,2018
30,Vietnam,January,2018
31,India,January,2018
32,Thailand,May,2018
33,Vietnam,December,2018
34,India,July,2018
35,Thailand,June,2018
36,Vietnam,January,2018
37,India,January,2018
38,Thailand,May,2018
39,Vietnam,December,2018
40,India,July,2018
41,Thailand,June,2018
42,Vietnam,January,2018
43,India,January,2018
44,Thailand,May,2018
45,Vietnam,December,2018
46,India,July,2018
47,Thailand,June,2018
48,Vietnam,January,2018
49,Philippines,February,2018
50,Phillippines,July,2018
51,India,January,2018
52,Thailand,May,2018
53,Vietnam,December,2018
54,India,July,2018
55,Thailand,June,2018
56,Vietnam,January,2018
57,India,January,2018
58,Thailand,May,2018
59,Vietnam,December,2018
60,India,July,2018
61,Thailand,June,2018
62,Vietnam,January,2018
63,India,January,2018
64,Thailand,May,2018
65,Vietnam,December,2018
66,India,July,2018
67,Thailand,June,2018
68,Vietnam,January,2018
69,India,January,2018
70,Thailand,May,2018
71,Vietnam,December,2018
72,India,July,2018
73,Thailand,June,2018
74,Vietnam,January,2018
75,India,January,2018
76,Thailand,May,2018
77,Vietnam,December,2018
78,India,July,2018
79,Thailand,June,2018
80,Vietnam,January,2018
81,India,January,2018
82,Thailand,May,2018
83,Vietnam,December,2018
84,India,July,2018
85,Thailand,June,2018
86,Vietnam,January,2018
87,India,January,2018
88,Thailand,May,2018
89,Vietnam,December,2018
90,India,July,2018
91,Thailand,June,2018
92,Vietnam,January,2018
93,India,January,2018
94,Thailand,May,2018
95,Vietnam,December,2018
96,India,July,2018
97,Thailand,June,2018
98,Vietnam,January,2018
99,Philippines,February,2018
100,Phillippines,July,2018
101,India,January,2018
102,Thailand,May,2018
103,Vietnam,December,2018
104,India,July,2018
105,Thailand,June,2018
106,Vietnam,January,2018
107,India,January,2018
108,Thailand,May,2018
109,Vietnam,December,2018
110,India,July,2018
111,Thailand,June,2018
112,Vietnam,January,2018
113,India,January,2018
114,Thailand,May,2018
115,Vietnam,December,2018
116,India,July,2018
117,Thailand,June,2018
118,Vietnam,January,2018
119,India,January,2018
120,Thailand,May,2018
121,Vietnam,December,2018
122,India,July,2018
123,Thailand,June,2018
124,Vietnam,January,2018
125,India,January,2018
126,Thailand,May,2018
127,Vietnam,December,2018
128,India,July,2018
129,Thailand,June,2018
130,Vietnam,January,2018
131,India,January,2018
132,Thailand,May,2018
133,Vietnam,December,2018
134,India,July,2018
135,Thailand,June,2018
136,Vietnam,January,2018
137,India,January,2018
138,Thailand,May,2018
139,Vietnam,December,2018
140,India,July,2018
141,Thailand,June,2018
142,Vietnam,January,2018
143,India,January,2018
144,Thailand,May,2018
145,Vietnam,December,2018
146,India,July,2018
147,Thailand,June,2018
148,Vietnam,January,2018
149,Philippines,February,2018
150,Phillippines,July,2018
151,India,January,2018
152,Thailand,May,2018
153,Vietnam,December,2018
154,India,July,2018
155,Thailand,June,2018
156,Vietnam,January,2018
157,India,January,2018
158,Thailand,May,2018
159,Vietnam,December,2018
160,India,July,2018
161,Thailand,June,2018
162,Vietnam,January,2018
163,India,January,2018
164,Thailand,May,2018
165,Vietnam,December,2018
166,India,July,2018
167,Thailand,June,2018
168,Vietnam,January,2018
169,India,January,2018
170,Thailand,May,2018
171,Vietnam,December,2018
172,India,July,2018
173,Thailand,June,2018
174,Vietnam,January,2018
175,India,January,2018
176,Thailand,May,2018
177,Vietnam,December,2018
178,India,July,2018
179,Thailand,June,2018
180,Vietnam,January,2018
181,India,January,2018
182,Thailand,May,2018
183,Vietnam,December,2018
184,India,July,2018
185,Thailand,June,2018
186,Vietnam,January,2018
187,India,January,2018
188,Thailand,May,2018
189,Vietnam,December,2018
190,India,July,2018
191,Thailand,June,2018
192,Vietnam,January,2018
193,India,January,2018
194,Thailand,May,2018
195,Vietnam,December,2018
196,India,July,2018
197,Thailand,June,2018
198,Vietnam,January,2018
199,Philippines,February,2018
200,Phillippines,July,2018
201,India,January,2018
202,Thailand,May,2018
203,Vietnam,December,2018
204,India,July,2018
205,Thailand,June,2018
206,Vietnam,January,2018
207,India,January,2018
208,Thailand,May,2018
209,Vietnam,December,2018
210,India,July,2018
211,Thailand,June,2018
212,Vietnam,January,2018
213,India,January,2018
214,Thailand,May,2018
215,Vietnam,December,2018
216,India,July,2018
217,Thailand,June,2018
218,Vietnam,January,2018
219,India,January,2018
220,Thailand,May,2018
221,Vietnam,December,2018
222,India,July,2018
223,Thailand,June,2018
224,Vietnam,January,2018
225,India,January,2018
226,Thailand,May,2018
227,Vietnam,December,2018
228,India,July,2018
229,Thailand,June,2018
230,Vietnam,January,2018
231,India,January,2018
232,Thailand,May,2018
233,Vietnam,December,2018
234,India,July,2018
235,Thailand,June,2018
236,Vietnam,January,2018
237,India,January,2018
238,Thailand,May,2018
239,Vietnam,December,2018
240,India,July,2018
241,Thailand,June,2018
242,Vietnam,January,2018
243,India,January,2018
244,Thailand,May,2018
245,Vietnam,December,2018
246,India,July,2018
247,Thailand,June,2018
248,Vietnam,January,2018
249,Philippines,February,2018
250,Phillippines,July,2018
251,India,January,2018
252,Thailand,May,2018
253,Vietnam,December,2018
254,India,July,2018
255,Thailand,June,2018
256,Vietnam,January,2018
257,India,January,2018
258,Thailand,May,2018
259,Vietnam,December,2018
260,India,July,2018
261,Thailand,June,2018
262,Vietnam,January,2018
263,India,January,2018
264,Thailand,May,2018
265,Vietnam,December,2018
266,India,July,2018
267,Thailand,June,2018
268,Vietnam,January,2018
269,India,January,2018
270,Thailand,May,2018
271,Vietnam,December,2018
272,India,July,2018
273,Thailand,June,2018
274,Vietnam,January,2018
275,India,January,2018
276,Thailand,May,2018
277,Vietnam,December,2018
278,India,July,2018
279,Thailand,June,2018
280,Vietnam,January,2018
281,India,January,2018
282,Thailand,May,2018
283,Vietnam,December,2018
284,India,July,2018
285,Thailand,June,2018
286,Vietnam,January,2018
287,India,January,2018
288,Thailand,May,2018
289,Vietnam,December,2018
290,India,July,2018
291,Thailand,June,2018
292,Vietnam,January,2018
293,India,January,2018
294,Thailand,May,2018
295,Vietnam,December,2018
296,India,July,2018
297,Thailand,June,2018
298,Vietnam,January,2018
299,Philippines,February,2018
300,Phillippines,July,2018
301,India,January,2018
302,Thailand,May,2018
303,Vietnam,December,2018
304,India,July,2018
305,Thailand,June,2018
306,Vietnam,January,2018
307,India,January,2018
308,Thailand,May,2018
309,Vietnam,December,2018
310,India,July,2018
311,Thailand,June,2018
312,Vietnam,January,2018
313,India,January,2018
314,Thailand,May,2018
315,Vietnam,December,2018
316,India,July,2018
317,Thailand,June,2018
318,Vietnam,January,2018
319,India,January,2018
320,Thailand,May,2018
321,Vietnam,December,2018
322,India,July,2018
323,Thailand,June,2018
324,Vietnam,January,2018
325,India,January,2018
326,Thailand,May,2018
327,Vietnam,December,2018
328,India,July,2018
329,Thailand,June,2018
330,Vietnam,January,2018
331,India,January,2018
332,Thailand,May,2018
333,Vietnam,December,2018
334,India,July,2018
335,Thailand,June,2018
336,Vietnam,January,2018
337,India,January,2018
338,Thailand,May,2018
339,Vietnam,December,2018
340,India,July,2018
341,Thailand,June,2018
342,Vietnam,January,2018
343,India,January,2018
344,Thailand,May,2018
345,Vietnam,December,2018
346,India,July,2018
347,Thailand,June,2018
348,Vietnam,January,2018
349,Philippines,February,2018
350,Phillippines,July,2018
351,India,January,2018
352,Thailand,May,2018
353,Vietnam,December,2018
354,India,July,2018
355,Thailand,June,2018
356,Vietnam,January,2018
357,India,January,2018
358,Thailand,May,2018
359,Vietnam,December,2018
360,India,July,2018
361,Thailand,June,2018
362,Vietnam,January,2018
363,India,January,2018
364,Thailand,May,2018
365,Vietnam,December,2018
366,India,July,2018
367,Thailand,June,2018
368,Vietnam,January,2018
369,India,January,2018
370,Thailand,May,2018
371,Vietnam,December,2018
372,India,July,2018
373,Thailand,June,2018
374,Vietnam,January,2018
375,India,January,2018
376,Thailand,May,2018
377,Vietnam,December,2018
378,India,July,2018
379,Thailand,June,2018
380,Vietnam,January,2018
381,India,January,2018
382,Thailand,May,2018
383,Vietnam,December,2018
384,India,July,2018
385,Thailand,June,2018
386,Vietnam,January,2018
387,India,January,2018
388,Thailand,May,2018
389,Vietnam,December,2018
390,India,July,2018
391,Thailand,June,2018
392,Vietnam,January,2018
393,India,January,2018
394,Thailand,May,2018
395,Vietnam,December,2018
396,India,July,2018
397,Thailand,June,2018
398,Vietnam,January,2018
399,Philippines,February,2018
400,Phillippines,July,2018
401,India,January,2018
402,Thailand,May,2018
403,Vietnam,December,2018
404,India,July,2018
405,Thailand,June,2018
406,Vietnam,January,2018
407,India,January,2018
408,Thailand,May,2018
409,Vietnam,December,2018
410,India,July,2018
411,Thailand,June,2018
412,Vietnam,January,2018
413,India,January,2018
414,Thailand,May,2018
415,Vietnam,December,2018
416,India,July,2018
417,Thailand,June,2018
418,Vietnam,January,2018
419,India,January,2018
420,Thailand,May,2018
421,Vietnam,December,2018
422,India,July,2018
423,Thailand,June,2018
424,Vietnam,January,2018
425,India,January,2018
426,Thailand,May,2018
427,Vietnam,December,2018
428,India,July,2018
429,Thailand,June,2018
430,Vietnam,January,2018
431,India,January,2018
432,Thailand,May,2018
433,Vietnam,December,2018
434,India,July,2018
435,Thailand,June,2018
436,Vietnam,January,2018
437,India,January,2018
438,Thailand,May,2018
439,Vietnam,December,2018
440,India,July,2018
441,Thailand,June,2018
442,Vietnam,January,2018
443,India,January,2018
444,Thailand,May,2018
445,Vietnam,December,2018
446,India,July,2018
447,Thailand,June,2018
448,Vietnam,January,2018
449,Philippines,February,2018
450,Phillippines,July,2018
451,India,January,2018
452,Thailand,May,2018
453,Vietnam,December,2018
454,India,July,2018
455,Thailand,June,2018
456,Vietnam,January,2018
457,India,January,2018
458,Thailand,May,2018
459,Vietnam,December,2018
460,India,July,2018
461,Thailand,June,2018
462,Vietnam,January,2018
463,India,January,2018
464,Thailand,May,2018
465,Vietnam,December,2018
466,India,July,2018
467,Thailand,June,2018
468,Vietnam,January,2018
469,India,January,2018
470,Thailand,May,2018
471,Vietnam,December,2018
472,India,July,2018
473,Thailand,June,2018
474,Vietnam,January,2018
475,India,January,2018
476,Thailand,May,2018
477,Vietnam,December,2018
478,India,July,2018
479,Thailand,June,2018
480,Vietnam,January,2018
481,India,January,2018
482,Thailand,May,2018
483,Vietnam,December,2018
484,India,July,2018
485,Thailand,June,2018
486,Vietnam,January,2018
487,India,January,2018
488,Thailand,May,2018
489,Vietnam,December,2018
490,India,July,2018
491,Thailand,June,2018
492,Vietnam,January,2018
493,India,January,2018
494,Thailand,May,2018
495,Vietnam,December,2018
496,India,July,2018
497,Thailand,June,2018
498,Vietnam,January,2018
499,Philippines,February,2018
500,Phillippines,July,2018
501,India,January,2018
502,Thailand,May,2018
503,Vietnam,December,2018
504,India,July,2018
505,Thailand,June,2018
506,Vietnam,January,2018
507,India,January,2018
508,Thailand,May,2018
509,Vietnam,December,2018
510,India,July,2018
511,Thailand,June,2018
512,Vietnam,January,2018
513,India,January,2018
514,Thailand,May,2018
515,Vietnam,December,2018
516,India,July,2018
517,Thailand,June,2018
518,Vietnam,January,2018
519,India,January,2018
520,Thailand,May,2018
521,Vietnam,December,2018
522,India,July,2018
523,Thailand,June,2018
524,Vietnam,January,2018
525,India,January,2018
526,Thailand,May,2018
527,Vietnam,December,2018
528,India,July,2018
529,Thailand,June,2018
530,Vietnam,January,2018
531,India,January,2018
532,Thailand,May,2018
533,Vietnam,December,2018
534,India,July,2018
535,Thailand,June,2018
536,Vietnam,January,2018
537,India,January,2018
538,Thailand,May,2018
539,Vietnam,December,2018
540,India,July,2018
541,Thailand,June,2018
542,Vietnam,January,2018
543,India,January,2018
544,Thailand,May,2018
545,Vietnam,December,2018
546,India,July,2018
547,Thailand,June,2018
548,Vietnam,January,2018
549,Philippines,February,2018
550,Phillippines,July,2018
551,India,January,2018
552,Thailand,May,2018
553,Vietnam,December,2018
554,India,July,2018
555,Thailand,June,2018
556,Vietnam,January,2018
